text,label
femmes saluent 🇲 🇫,pos
suggéré balle tête souhaité crash avion aucun journaliste ne développe,neg
📹 emma ans elle étudiante droit elle france pays où femmes enfin sécurité transports 🙅🏻‍♂ ️ aussi dites notre pays sans ➡ ️ ⓜ️ 🇫 🇷,neg
arrêter guerre simple suffit traverser rue résultat dernier conseil commandé,neg
plus enclin connaître vie privée ceux interroge ferait mieux faire preuve partialité envers scandaleux focaliser fait secondes alors plus grand meeting dernières années,neg
ouragan médiatique scandé militants alors mêmes militants traités virus peste brune cadres lrem menacés balle tête aspergés essence etc là étrangement pudeurs ricanements,neg
france fournit armes arabie saoudite donc sens sang mains complice génocide yémen,neg
gouvernement crie complotisme oppositions,neu
pendu meeting dit,neu
hop meilleur vendeur année gagné tee shirt 🤦🏼‍♂ ️prothèsesauditives,neg
comment scandale peut faire chuter,neg
crie complitisle … allez … encore tout petit effort avant conspirationisme 🤣 🤣 🤣,neg
foutre peuple crié colère contre termes choisis autres bien dessiné croix gammées petites moustaches photos sans ça ne émeuve merdias gauchistes écolo socialo cocos non,neg
responsable cri coeur français excédés laxisme politique laisse racailles massacrer concitoyens islamistes massacrer leurs codétenus quand prétend diriger assume responsabilités,neu
examinons dernières années mortelles france gj éborgnés malades non soignés peuple insulté méprisé pauvreté accrue immigration massive tue france scandales financiers etc ne pas peur crier,neg
pro precresse signaler tweet traite pute salope où dit voter avril supprimer force bas répète reine putes voter jlmelenchon avril,neg
tus ceux ne veulent pas aller voter lire absolument,neu
prof art college jbosse enorme crush dit elle préférait elle allait voter … aime,pos
journalistes essaient interrompre poser question,neu
quand congolais fcc menacent boycotter elections ca rend fois joyeux triste quand pouvoir faut implementer démocratie effective congolais usn doit tirer leçons pouvoir ne jamais eternel,neu
oui vote dimanche réponse trouve cette enveloppe,neu
h ne appellera pas voter votera …,neu
ne comprends pas insomniaques 🤔 juste lu première page programmes élections endormie 😴 😴 😴 ne faites pas efforts 🙄,neg
déjà pensait ça encore cons excepté amis micron venir voter cet enculé congénital épouse jeanne michelle trogneuse,neu
soûlée sais pas voter 😒,neg
plus doute possible avril vote ⁦ ⁦ ⁩ ⁦ ⁩ france tous mobilisés contre extrêmes représentent sérieux danger pays ⁦ ardisson ⁩ ⁦ ⁩ ⁦ ⁩ ⁦ ⁩,pos
hésitais ouf présidentielles maintenant taubira annoncé soutien sais voter,neu
chaud ça veut dire semaine sans pouvoir promouvoir vote,neu
🌿 provence reçoit rameau olivier signe hommage rendu christ entrant triomphalement jérusalem aussi signe espérance amp symbole olivier berbère choisi parti espoir notre pays 🌿,pos
dimanche vote notre présent notre avenir ne plus ans limiter emballement dérèglement climatique fin mandat trop tard aussi quelques raisons supplémentaires thread ⬇ ️,pos
endoctrinement médias gauche aujourde hui devient réellement nocif chaque jour vois grandir sentiment anti français déconstruction patriotisme chaque jour entends injures france nos aïeux alors pensez voter,pos
train débattre meuf tik tok parce elle affirme dur comme fer extrême gauche allée voir insta elle 🇫 🇷 ⚜ ️ ça dit long spoiler elle environ ans donc pas droit vote sûrement politique maman papa,pos
peux plus tweets politiques putain vivement élections passent sérieux,neu
🔵 françaises français ne écoutez pas ceux cherchent démoraliser démobiliser débrancher peuple ⚪ ️️ usez droit vote défendre avril allez voter 🔴 peuple vote peuple gagne 🇨 🇵,pos
envoie sms 😍 😍 😍 🇲 🇫 🇲 🇫 🇲 🇫 🇲 🇫 🇲 🇫,pos
voter dimanche ne permets pas seulement barrer route extrême droite ça va apparemment aussi pousser fachos quitter pays appelle faire pierre deux coup 💅 👌🏻,neu
merci gentillesse courage tous militants finissent cette journée espoir nouveau jour avenir français tous ceux aiment france,pos
ceux luttent contre antisémitisme islamisme populisme valeurs républicaines démocratiques ceux veulent renforcer europe celles ceux ne veulent pas soumission allez voter ne laissez pas place extrêmes,neg
bon vu dis parents sais vais voter ça fait trop chier,neg
tellement hâte élections passées plein cul avoir h tweets politiques tl h commentaires tweet dire gens voter ça rend fou,neu
rétablir vraie démocratie plus sondage fini votes ne servent rien fini voterai lui elle … fini disant vote utile tour coup surprise,pos
question part empêcher voter pourquoi cette année mobilisation importante fdo jour élection peur mouvements spéciaux 🤔 🤔 🤔,neu
désolé essaie être moins politique triangle rouge suffit ye gens ici mode full économie acheter paire lunette vote gargamelle ça rend ouf,neg
